paper_title,paper_authors
Weakly Supervised Semantic Point Cloud Segmentation: Towards 10x Fewer Labels,"Xun Xu, Gim Hee Lee"
Neural Pose Transfer by Spatially Adaptive Instance Normalization,"Jiashun Wang, Chao Wen, Yanwei Fu, Haitao Lin, Tianyun Zou, Xiangyang Xue, Yinda Zhang"
Discrete Model Compression With Resource Constraint for Deep Neural Networks,"Shangqian Gao, Feihu Huang, Jian Pei, Heng Huang"
CoverNet: Multimodal Behavior Prediction Using Trajectory Sets,"Tung Phan-Minh, Elena Corina Grigore, Freddy A. Boulton, Oscar Beijbom, Eric M. Wolff"
RoutedFusion: Learning Real-Time Depth Map Fusion,"Silvan Weder, Johannes Schonberger, Marc Pollefeys, Martin R. Oswald"
GhostNet: More Features From Cheap Operations,"Kai Han, Yunhe Wang, Qi Tian, Jianyuan Guo, Chunjing Xu, Chang Xu"
Screencast Tutorial Video Understanding,"Kunpeng Li, Chen Fang, Zhaowen Wang, Seokhwan Kim, Hailin Jin, Yun Fu"
Coherent Reconstruction of Multiple Humans From a Single Image,"Wen Jiang, Nikos Kolotouros, Georgios Pavlakos, Xiaowei Zhou, Kostas Daniilidis"
SDFDiff: Differentiable Rendering of Signed Distance Fields for 3D Shape Optimization,"Yue Jiang, Dantong Ji, Zhizhong Han, Matthias Zwicker"
Gated Channel Transformation for Visual Recognition,"Zongxin Yang, Linchao Zhu, Yu Wu, Yi Yang"
High-Performance Long-Term Tracking With Meta-Updater,"Kenan Dai, Yunhua Zhang, Dong Wang, Jianhua Li, Huchuan Lu, Xiaoyun Yang"
Self2Self With Dropout: Learning Self-Supervised Denoising From Single Image,"Yuhui Quan, Mingqin Chen, Tongyao Pang, Hui Ji"
Learning to Measure the Static Friction Coefficient in Cloth Contact,"Abdullah Haroon Rasheed, Victor Romero, Florence Bertails-Descoubes, Stefanie Wuhrer, Jean-Sebastien Franco, Arnaud Lazarus"
Rethinking Class-Balanced Methods for Long-Tailed Visual Recognition From a Domain Adaptation Perspective,"Muhammad Abdullah Jamal, Matthew Brown, Ming-Hsuan Yang, Liqiang Wang, Boqing Gong"
A Spatiotemporal Volumetric Interpolation Network for 4D Dynamic Medical Image,"Yuyu Guo, Lei Bi, Euijoon Ahn, Dagan Feng, Qian Wang, Jinman Kim"
Can Deep Learning Recognize Subtle Human Activities?,"Vincent Jacquot, Zhuofan Ying, Gabriel Kreiman"
Softmax Splatting for Video Frame Interpolation,"Simon Niklaus, Feng Liu"
Where Am I Looking At? Joint Location and Orientation Estimation by Cross-View Matching,"Yujiao Shi, Xin Yu, Dylan Campbell, Hongdong Li"
Combating Noisy Labels by Agreement: A Joint Training Method with Co-Regularization,"Hongxin Wei, Lei Feng, Xiangyu Chen, Bo An"
Cross-Domain Correspondence Learning for Exemplar-Based Image Translation,"Pan Zhang, Bo Zhang, Dong Chen, Lu Yuan, Fang Wen"
Towards Large Yet Imperceptible Adversarial Image Perturbations With Perceptual Color Distance,"Zhengyu Zhao, Zhuoran Liu, Martha Larson"
Superpixel Segmentation With Fully Convolutional Networks,"Fengting Yang, Qian Sun, Hailin Jin, Zihan Zhou"
A Multi-Task Mean Teacher for Semi-Supervised Shadow Detection,"Zhihao Chen, Lei Zhu, Liang Wan, Song Wang, Wei Feng, Pheng-Ann Heng"
Assessing Image Quality Issues for Real-World Problems,"Tai-Yin Chiu, Yinan Zhao, Danna Gurari"
ContourNet: Taking a Further Step Toward Accurate Arbitrary-Shaped Scene Text Detection,"Yuxin Wang, Hongtao Xie, Zheng-Jun Zha, Mengting Xing, Zilong Fu, Yongdong Zhang"
Closed-Loop Matters: Dual Regression Networks for Single Image Super-Resolution,"Yong Guo, Jian Chen, Jingdong Wang, Qi Chen, Jiezhang Cao, Zeshuai Deng, Yanwu Xu, Mingkui Tan"
Adaptive Dilated Network With Self-Correction Supervision for Counting,"Shuai Bai, Zhiqun He, Yu Qiao, Hanzhe Hu, Wei Wu, Junjie Yan"
Optimal least-squares solution to the hand-eye calibration problem,"Amit Dekel, Linus Harenstam-Nielsen, Sergio Caccamo"
ROAM: Recurrently Optimizing Tracking Model,"Tianyu Yang, Pengfei Xu, Runbo Hu, Hua Chai, Antoni B. Chan"
Camouflaged Object Detection,"Deng-Ping Fan, Ge-Peng Ji, Guolei Sun, Ming-Ming Cheng, Jianbing Shen, Ling Shao"
Uncertainty-Aware CNNs for Depth Completion: Uncertainty from Beginning to End,"Abdelrahman Eldesokey, Michael Felsberg, Karl Holmquist, Michael Persson"
Wavelet Integrated CNNs for Noise-Robust Image Classification,"Qiufu Li, Linlin Shen, Sheng Guo, Zhihui Lai"
"Why Having 10,000 Parameters in Your Camera Model Is Better Than Twelve","Thomas Schops, Viktor Larsson, Marc Pollefeys, Torsten Sattler"
Learning From Web Data With Self-Organizing Memory Module,"Yi Tu, Li Niu, Junjie Chen, Dawei Cheng, Liqing Zhang"
Towards Causal VQA: Revealing and Reducing Spurious Correlations by Invariant and Covariant Semantic Editing,"Vedika Agarwal, Rakshith Shetty, Mario Fritz"
BiDet: An Efficient Binarized Object Detector,"Ziwei Wang, Ziyi Wu, Jiwen Lu, Jie Zhou"
Overcoming Classifier Imbalance for Long-Tail Object Detection With Balanced Group Softmax,"Yu Li, Tao Wang, Bingyi Kang, Sheng Tang, Chunfeng Wang, Jintao Li, Jiashi Feng"
FReeNet: Multi-Identity Face Reenactment,"Jiangning Zhang, Xianfang Zeng, Mengmeng Wang, Yusu Pan, Liang Liu, Yong Liu, Yu Ding, Changjie Fan"
